 100
 80 120 
 7 48 202 
 7 50 193 
 7 55 204 
 7 57 198 
 7 58 208 
 7 60 199 
 7 66 195 
 7 71 199 
 7 76 205 
 7 78 200 
 7 80 203 
 8 12 295 
 8 13 299 
 8 14 305 
 8 18 306 
 8 19 299 
 8 20 298 
 8 24 197 
 8 33 200 
 8 35 194 
 8 41 202 
 8 44 194 
 8 46 197 
 8 50 209 
 8 56 196 
 8 59 206 
 8 61 197 
 8 70 207 
 8 74 189 
 8 75 198 
 8 79 199 
 9 10 292 
 9 13 297 
 9 20 291 
 9 24 197 
 9 30 200 
 9 31 200 
 9 36 207 
 9 41 192 
 9 43 193 
 9 51 196 
 9 63 195 
 9 78 201 
 9 79 208 
 10 13 298 
 10 16 308 
 10 23 201 
 10 30 199 
 10 44 208 
 10 55 191 
 10 80 205 
 11 12 297 
 11 22 191 
 11 40 207 
 11 41 197 
 11 46 196 
 11 52 193 
 11 54 205 
 11 62 191 
 11 68 193 
 11 71 200 
 11 79 201 
 12 15 294 
 12 17 303 
 12 21 195 
 12 23 202 
 12 24 206 
 12 54 204 
 12 60 189 
 12 62 199 
 12 77 201 
 13 14 309 
 13 17 301 
 13 18 300 
 13 23 198 
 13 27 192 
 13 39 202 
 13 40 193 
 13 47 199 
 13 53 199 
 13 54 194 
 13 58 201 
 13 60 203 
 13 62 201 
 13 66 197 
 13 69 193 
 14 20 297 
 14 27 196 
 14 31 195 
 14 32 196 
 14 44 208 
 14 46 198 
 14 55 196 
 14 57 203 
 14 61 189 
 14 80 197 
 15 20 305 
 15 30 198 
 15 35 199 
 15 37 199 
 15 41 196 
 15 43 195 
 15 46 205 
 15 47 216 
 15 53 200 
 15 54 199 
 15 64 198 
 15 70 196 
 15 73 209 
 16 22 206 
 16 30 202 
 16 38 197 
 16 47 203 
 16 48 206 
 16 60 198 
 16 64 206 
 16 65 200 
 16 66 200 
 16 73 197 
 16 74 197 
 16 77 193 
 17 20 299 
 17 23 200 
 17 29 194 
 17 44 202 
 17 46 199 
 17 55 203 
 17 56 198 
 17 60 195 
 17 63 203 
 17 69 197 
 17 71 192 
 17 75 195 
 17 77 193 
 17 78 202 
 17 79 194 
 18 25 202 
 18 26 197 
 18 29 205 
 18 51 194 
 18 62 198 
 18 63 204 
 18 64 192 
 18 72 198 
 18 77 196 
 19 21 199 
 19 22 195 
 19 23 199 
 19 24 199 
 19 26 192 
 19 28 209 
 19 29 196 
 19 30 193 
 19 36 200 
 19 45 198 
 19 46 194 
 19 47 203 
 19 52 197 
 19 54 200 
 19 57 198 
 19 62 198 
 19 68 198 
 19 70 207 
 19 71 200 
 19 73 201 
 19 77 187 
 20 31 200 
 20 42 197 
 20 49 199 
 20 56 195 
 20 59 193 
 20 63 194 
 20 69 207 
 20 70 193 
 20 74 196 
 20 75 195 
 20 79 196 
 21 22 99 
 21 34 100 
 21 37 101 
 21 42 93 
 21 44 108 
 21 47 95 
 21 48 97 
 21 52 99 
 21 55 100 
 21 61 99 
 21 73 102 
 21 80 107 
 22 25 101 
 22 31 96 
 22 32 98 
 22 44 100 
 22 46 105 
 22 53 99 
 22 55 100 
 22 74 95 
 23 26 98 
 23 35 99 
 23 46 104 
 23 58 104 
 23 60 103 
 23 66 104 
 23 75 101 
 23 78 96 
 23 79 100 
 23 80 106 
 24 37 100 
 24 41 101 
 24 43 92 
 24 45 96 
 24 50 100 
 24 52 98 
 24 54 102 
 24 62 102 
 24 66 101 
 24 72 94 
 24 73 104 
 24 75 100 
 24 80 98 
 25 34 99 
 25 36 100 
 25 40 107 
 25 41 107 
 25 42 94 
 25 52 100 
 25 54 111 
 25 59 110 
 25 67 99 
 25 68 103 
 25 70 105 
 25 72 96 
 25 76 99 
 25 78 97 
 26 34 96 
 26 37 101 
 26 38 101 
 26 42 97 
 26 45 99 
 26 49 94 
 26 57 109 
 26 62 95 
 26 65 100 
 26 66 90 
 26 73 99 
 26 77 96 
 27 33 98 
 27 35 100 
 27 38 99 
 27 41 96 
 27 48 112 
 27 49 102 
 27 50 100 
 27 55 109 
 27 57 103 
 27 59 97 
 27 62 99 
 27 67 101 
 27 70 92 
 27 74 100 
 27 79 94 
 28 42 100 
 28 44 94 
 28 45 106 
 28 48 95 
 28 49 107 
 28 50 108 
 28 59 109 
 28 64 100 
 28 65 91 
 28 71 100 
 28 73 102 
 28 77 105 
 29 36 105 
 29 38 96 
 29 43 94 
 29 46 98 
 29 49 113 
 29 50 95 
 29 52 88 
 29 55 102 
 29 56 97 
 29 64 100 
 29 68 103 
 29 80 107 
 30 32 105 
 30 33 104 
 30 34 94 
 30 41 108 
 30 47 108 
 30 49 99 
 30 50 95 
 30 58 101 
 30 62 110 
 30 68 109 
 30 71 97 
 30 72 96 
 30 73 100 
 30 80 106 
 31 33 102 
 31 39 95 
 31 43 92 
 31 54 92 
 31 57 101 
 31 59 106 
 31 76 97 
 31 80 94 
 32 35 95 
 32 38 96 
 32 42 100 
 32 44 101 
 32 51 99 
 32 52 99 
 32 65 98 
 32 67 110 
 32 68 104 
 32 74 96 
 32 79 103 
 33 37 95 
 33 38 98 
 33 39 106 
 33 41 92 
 33 45 94 
 33 46 101 
 33 54 100 
 33 56 108 
 33 58 98 
 33 59 99 
 33 64 103 
 33 72 97 
 33 77 102 
 33 79 106 
 34 42 103 
 34 45 94 
 34 50 93 
 34 57 100 
 34 58 97 
 34 72 93 
 34 75 101 
 35 42 102 
 35 43 99 
 35 46 106 
 35 50 109 
 35 58 98 
 35 68 104 
 35 69 104 
 35 75 105 
 36 42 105 
 36 45 95 
 36 49 102 
 36 57 95 
 36 60 105 
 36 65 89 
 36 75 104 
 36 77 103 
 36 80 98 
 37 38 109 
 37 41 102 
 37 42 95 
 37 45 99 
 37 51 105 
 37 52 90 
 37 55 103 
 37 62 107 
 37 66 97 
 38 44 101 
 38 49 98 
 38 55 108 
 38 80 104 
 39 48 95 
 39 61 98 
 39 72 94 
 39 77 101 
 40 45 98 
 40 46 98 
 40 47 95 
 40 49 110 
 40 51 102 
 40 65 94 
 40 67 101 
 40 69 104 
 40 76 103 
 41 44 98 
 41 51 97 
 41 53 97 
 41 55 102 
 41 59 100 
 41 61 98 
 41 64 98 
 41 65 103 
 41 70 105 
 41 72 96 
 42 47 101 
 42 51 104 
 42 53 98 
 42 56 92 
 42 65 107 
 42 67 99 
 42 68 101 
 42 69 91 
 42 70 94 
 42 80 102 
 43 45 93 
 43 48 95 
 43 68 101 
 43 70 92 
 43 76 102 
 43 78 92 
 43 79 92 
 43 80 107 
 44 52 103 
 44 55 104 
 44 61 105 
 45 50 96 
 45 54 101 
 45 56 102 
 45 67 92 
 45 69 91 
 45 75 98 
 45 78 93 
 45 80 102 
 46 51 102 
 46 55 93 
 46 67 106 
 46 68 102 
 46 72 100 
 47 52 98 
 47 58 96 
 47 62 106 
 47 67 104 
 47 80 106 
 48 49 101 
 48 57 105 
 48 78 103 
 48 79 105 
 49 60 104 
 49 61 90 
 49 75 92 
 50 57 104 
 50 61 101 
 50 62 103 
 50 79 91 
 51 55 103 
 51 60 90 
 51 61 101 
 51 64 103 
 51 66 104 
 51 67 108 
 51 71 113 
 51 72 103 
 51 77 97 
 51 78 94 
 52 56 101 
 52 57 102 
 52 66 102 
 52 68 100 
 52 71 103 
 52 75 100 
 52 76 102 
 52 78 108 
 53 69 97 
 53 78 102 
 54 56 96 
 54 57 101 
 54 68 98 
 54 69 97 
 54 73 94 
 55 60 96 
 55 61 98 
 55 63 101 
 55 65 99 
 55 68 98 
 55 75 101 
 55 77 104 
 55 79 88 
 56 62 102 
 56 64 95 
 56 65 98 
 56 69 97 
 56 77 100 
 57 78 97 
 58 67 96 
 59 62 101 
 59 70 107 
 59 74 104 
 59 79 98 
 60 76 101 
 61 62 101 
 61 67 94 
 61 77 102 
 61 78 102 
 62 63 101 
 62 64 103 
 62 65 93 
 62 68 96 
 62 75 99 
 63 66 103 
 63 70 100 
 63 73 98 
 64 71 103 
 64 74 94 
 64 76 93 
 65 72 108 
 65 73 100 
 65 74 99 
 66 69 94 
 66 70 99 
 66 72 99 
 66 74 102 
 66 78 101 
 67 69 98 
 67 80 100 
 68 77 96 
 68 78 95 
 68 80 111 
 69 72 104 
 69 73 94 
 70 76 100 
 70 80 94 
 71 73 98 
 71 80 107 
 73 77 103 
 20 
 1 2 3 4 5 6 
 7 8 9 10 11 12 
 13 14 15 16 17 18 
 19 20 
 80 632 
 1 7 298 
 1 9 296 
 1 11 300 
 1 13 301 
 1 14 293 
 1 15 310 
 1 34 192 
 1 35 199 
 1 40 192 
 1 43 199 
 1 50 201 
 1 52 195 
 1 53 188 
 1 55 206 
 1 59 195 
 1 60 193 
 1 64 212 
 1 65 200 
 1 67 196 
 1 73 207 
 1 74 195 
 2 6 303 
 2 7 305 
 2 14 294 
 2 18 296 
 2 20 303 
 2 23 203 
 2 25 201 
 2 28 204 
 2 29 200 
 2 30 197 
 2 31 196 
 2 39 203 
 2 44 199 
 2 47 197 
 2 50 204 
 2 63 201 
 2 68 205 
 2 75 197 
 2 76 198 
 3 8 291 
 3 14 309 
 3 17 302 
 3 18 296 
 3 21 202 
 3 37 201 
 3 47 196 
 3 48 207 
 3 51 196 
 3 55 209 
 3 58 190 
 3 60 201 
 3 65 196 
 3 67 195 
 3 72 197 
 3 73 199 
 3 74 202 
 3 76 195 
 4 6 295 
 4 11 302 
 4 15 304 
 4 21 204 
 4 22 195 
 4 24 202 
 4 37 199 
 4 47 202 
 4 49 204 
 4 53 197 
 4 66 201 
 4 67 204 
 4 68 192 
 4 71 198 
 4 74 194 
 4 76 197 
 4 77 205 
 4 79 199 
 4 80 201 
 5 11 299 
 5 15 300 
 5 18 301 
 5 20 294 
 5 24 208 
 5 43 201 
 5 53 200 
 5 57 192 
 5 67 203 
 5 72 206 
 6 7 301 
 6 13 294 
 6 15 303 
 6 19 302 
 6 22 200 
 6 25 197 
 6 44 200 
 6 66 204 
 6 68 198 
 7 8 302 
 7 26 204 
 7 28 197 
 7 31 202 
 7 32 204 
 7 36 197 
 7 39 198 
 7 45 195 
 7 49 202 
 7 51 199 
 7 53 197 
 7 60 206 
 7 66 200 
 7 67 200 
 7 70 198 
 7 74 201 
 7 78 196 
 8 11 297 
 8 13 299 
 8 14 300 
 8 21 210 
 8 23 195 
 8 29 201 
 8 42 198 
 8 49 202 
 8 50 207 
 8 51 204 
 8 57 198 
 8 61 199 
 8 66 193 
 8 72 196 
 8 74 190 
 9 10 305 
 9 13 297 
 9 18 300 
 9 20 297 
 9 22 192 
 9 27 194 
 9 28 206 
 9 36 208 
 9 38 192 
 9 41 198 
 9 49 204 
 9 50 204 
 9 59 196 
 9 67 201 
 9 70 196 
 9 71 196 
 9 72 202 
 10 14 300 
 10 15 301 
 10 16 295 
 10 18 302 
 10 19 295 
 10 20 299 
 10 22 206 
 10 33 196 
 10 39 200 
 10 41 198 
 10 54 205 
 10 56 208 
 10 61 195 
 10 70 205 
 10 74 200 
 10 77 192 
 10 78 199 
 11 12 308 
 11 14 295 
 11 33 201 
 11 37 203 
 11 39 199 
 11 43 205 
 11 45 195 
 11 47 198 
 11 59 204 
 11 66 187 
 11 80 200 
 12 13 298 
 12 25 199 
 12 29 203 
 12 32 196 
 12 34 192 
 12 41 204 
 12 46 197 
 12 50 203 
 12 54 195 
 13 14 297 
 13 15 302 
 13 21 199 
 13 22 198 
 13 26 203 
 13 30 201 
 13 33 201 
 13 37 195 
 13 40 192 
 13 47 200 
 13 48 192 
 13 51 204 
 13 60 204 
 13 63 207 
 13 65 204 
 13 67 202 
 13 69 196 
 13 75 197 
 13 76 196 
 14 16 303 
 14 19 290 
 14 20 303 
 14 23 198 
 14 24 200 
 14 27 200 
 14 37 210 
 14 39 201 
 14 47 197 
 14 48 194 
 14 52 203 
 14 58 197 
 14 62 192 
 14 64 198 
 14 65 189 
 14 71 196 
 14 77 197 
 14 78 195 
 14 79 204 
 15 27 208 
 15 29 204 
 15 38 202 
 15 39 195 
 15 40 200 
 15 42 212 
 15 43 206 
 15 59 201 
 15 64 198 
 15 65 207 
 15 69 207 
 15 71 191 
 16 21 200 
 16 22 203 
 16 29 193 
 16 46 206 
 16 47 197 
 16 48 202 
 16 54 201 
 16 56 197 
 16 65 194 
 16 76 192 
 16 77 194 
 16 80 194 
 17 20 302 
 17 22 209 
 17 23 203 
 17 24 207 
 17 31 192 
 17 38 199 
 17 40 203 
 17 43 200 
 17 57 201 
 17 61 202 
 17 67 196 
 17 73 202 
 17 75 202 
 17 76 202 
 18 28 202 
 18 34 204 
 18 40 205 
 18 42 194 
 18 48 204 
 18 49 195 
 18 52 205 
 18 56 203 
 18 62 204 
 18 72 199 
 18 80 199 
 19 25 205 
 19 27 200 
 19 42 191 
 19 49 199 
 19 53 195 
 19 68 200 
 20 25 203 
 20 37 197 
 20 38 201 
 20 40 196 
 20 42 201 
 20 54 192 
 20 57 205 
 20 61 194 
 20 78 205 
 21 23 103 
 21 24 94 
 21 28 97 
 21 40 93 
 21 41 93 
 21 53 93 
 21 54 101 
 21 56 92 
 21 58 100 
 21 66 96 
 21 75 105 
 22 25 108 
 22 28 98 
 22 30 96 
 22 35 93 
 22 38 97 
 22 45 97 
 22 47 100 
 22 55 90 
 22 63 96 
 22 71 91 
 22 74 106 
 23 24 93 
 23 43 103 
 23 52 98 
 23 62 100 
 23 65 102 
 23 66 95 
 23 67 93 
 23 71 102 
 23 72 100 
 24 25 94 
 24 33 102 
 24 35 98 
 24 47 104 
 24 50 102 
 24 62 94 
 24 77 95 
 25 33 96 
 25 34 95 
 25 42 88 
 25 44 106 
 25 45 97 
 25 52 96 
 25 56 93 
 25 60 94 
 25 64 102 
 25 67 95 
 25 74 96 
 25 75 101 
 26 34 94 
 26 42 100 
 26 43 96 
 26 45 93 
 26 56 100 
 26 63 100 
 26 69 94 
 26 71 106 
 27 29 97 
 27 30 97 
 27 31 95 
 27 33 102 
